id,Tempo Construção Inicial,V. FO Inicial,Rel. Prof x Turm,Rel. Prof x Dia,Tempo Final,V. FO Final,Rel. Prof x Turm,Rel. Prof x Dia,Qnt vzs melhorei a FO, Qnt. Turmas,Qnt. Professores, Qnt  feito refinamento , Iteração da m Solução ,  Qnt de pos que prof x Turma , Qnt de pos que prof x dias, status
1,0.001663,22,0,22,20.697828,20,3,17,2,30,30,1,209,141,141,Inviável
2,0.000194,6,0,6,17.056561,5,1,4,1,40,40,3,250,188,188,Inviável
3,0.000533,16,0,16,29.265732,15,1,14,1,50,50,3,176,235,235,Inviável
4,0.000568,17,0,17,36.657810,16,1,15,1,60,60,3,62,282,282,Inviável
5,0.000577,23,0,23,45.492680,22,1,21,1,70,70,2,107,329,329,Inviável
6,0.000542,13,0,13,49.913151,12,1,11,1,80,80,3,151,376,376,Inviável
7,0.000503,15,0,15,57.329361,14,1,13,1,90,90,3,377,423,423,Inviável
8,0.001292,28,0,28,82.218597,26,2,24,2,100,100,1,288,470,470,Inviável
9,0.000813,15,0,15,82.033730,14,1,13,1,110,110,3,215,517,517,Inviável
10,0.001180,38,0,38,104.503250,36,1,35,2,120,120,3,218,564,564,Inviável
11,0.001990,33,0,33,125.553650,32,2,30,1,130,130,2,148,611,611,Inviável
12,0.001676,37,0,37,140.167023,36,1,35,1,140,140,3,89,658,658,Inviável
13,0.001239,29,0,29,137.691895,27,2,25,2,150,150,2,25,705,705,Inviável
14,0.001667,29,0,29,162.434875,28,1,27,1,160,160,3,22,752,752,Inviável
15,0.001953,32,0,32,177.451141,31,1,30,1,170,170,3,387,799,799,Inviável
16,0.023722,75,0,75,242.600067,74,1,73,1,180,180,3,146,846,846,Inviável
17,0.002898,55,0,55,232.051727,55,0,55,0,190,190,0,0,893,893,Viável
18,0.014751,75,0,75,273.042633,74,3,71,1,200,200,1,343,940,940,Inviável
19,0.003380,64,0,64,287.146851,63,2,61,1,210,210,2,20,987,987,Inviável
