id,Tempo Construção Inicial,V. FO Inicial,Rel. Prof x Turm,Rel. Prof x Dia,Tempo Final,V. FO Final,Rel. Prof x Turm,Rel. Prof x Dia,Qnt vzs melhorei a FO, Qnt. Turmas,Qnt. Professores, Qnt  feito refinamento , Iteração da m Solução ,  Qnt de pos que prof x Turma , Qnt de pos que prof x dias, status
1,0.001505,30,0,30,5.482482,28,2,26,1,30,30,1,31,141,141,Viável
2,0.000199,8,0,8,4.409831,7,1,6,1,40,40,3,159,188,188,Inviável
3,0.000472,15,0,15,7.463973,13,1,12,2,50,50,2,74,235,235,Inviável
4,0.000277,4,0,4,7.329847,4,0,4,0,60,60,0,0,282,282,Viável
5,0.000644,20,0,20,11.147188,19,1,18,1,70,70,3,57,329,329,Inviável
6,0.000382,9,0,9,11.311305,9,0,9,0,80,80,0,0,376,376,Viável
7,0.000646,19,0,19,15.892188,18,1,17,1,90,90,3,61,423,423,Inviável
8,0.000590,18,0,18,17.600378,17,1,16,1,100,100,3,56,470,470,Inviável
9,0.001076,37,0,37,24.207760,36,2,34,1,110,110,2,145,517,517,Viável
10,0.000602,2,0,2,19.858404,2,0,2,0,120,120,0,0,564,564,Viável
11,0.001497,42,0,42,31.789812,42,0,42,0,130,130,0,0,611,611,Viável
12,0.001069,26,0,26,31.921757,25,2,23,1,140,140,2,71,658,658,Inviável
13,0.004371,62,0,62,44.494877,61,1,60,1,150,150,3,33,705,705,Inviável
14,0.003094,56,0,56,49.027580,55,1,54,1,160,160,2,193,752,752,Inviável
15,0.003295,63,0,63,52.290424,63,0,63,0,170,170,0,0,799,799,Viável
16,0.001939,41,0,41,52.861839,40,1,39,1,180,180,3,194,846,846,Inviável
17,0.014646,69,0,69,68.243874,67,2,65,2,190,190,2,53,893,893,Inviável
18,0.004989,74,0,74,72.332985,73,2,71,1,200,200,2,21,940,940,Inviável
19,0.002194,39,0,39,62.531212,39,0,39,0,210,210,0,0,987,987,Viável
20,0.033253,66,0,66,77.691040,66,0,66,0,220,220,0,0,1034,1034,Viável
