id,Tempo Construção Inicial,V. FO Inicial,Rel. Prof x Turm,Rel. Prof x Dia,Tempo Final,V. FO Final,Rel. Prof x Turm,Rel. Prof x Dia,Qnt vzs melhorei a FO, Qnt. Turmas,Qnt. Professores, Qnt  feito refinamento , Iteração da m Solução ,  Qnt de pos que prof x Turma , Qnt de pos que prof x dias, status
1,0.001502,24,0,24,11.085906,23,1,22,1,30,30,3,97,141,141,Inviável
2,0.000275,10,0,10,10.841891,10,0,10,0,40,40,0,0,188,188,Viável
3,0.000228,8,0,8,13.101917,7,1,6,1,50,50,3,8,235,235,Inviável
4,0.000367,13,0,13,17.943220,12,1,11,1,60,60,3,88,282,282,Inviável
5,0.000498,16,0,16,23.927437,14,1,13,2,70,70,3,34,329,329,Inviável
6,0.000583,20,0,20,30.205921,19,1,18,1,80,80,3,108,376,376,Inviável
7,0.001032,22,0,22,37.939213,22,0,22,0,90,90,0,0,423,423,Viável
8,0.000656,19,0,19,40.419998,17,1,16,2,100,100,3,270,470,470,Inviável
9,0.001025,23,0,23,48.714844,22,1,21,1,110,110,3,76,517,517,Inviável
10,0.001129,24,0,24,55.334000,23,1,22,1,120,120,3,120,564,564,Inviável
11,0.002314,45,0,45,76.023064,44,1,43,1,130,130,3,27,611,611,Inviável
12,0.001242,36,0,36,75.658943,33,4,29,2,140,140,0,268,658,658,Inviável
13,0.004105,70,0,70,106.764198,69,1,68,1,150,150,3,48,705,705,Inviável
14,0.003259,54,0,54,106.350037,54,0,54,0,160,160,0,0,752,752,Viável
15,0.001668,24,0,24,99.860527,24,0,24,0,170,170,0,0,799,799,Viável
16,0.003243,62,0,62,128.091278,61,1,60,1,180,180,3,32,846,846,Inviável
17,0.004140,65,0,65,142.928345,63,2,61,2,190,190,2,2,893,893,Inviável
18,0.004591,73,0,73,154.764877,73,0,73,0,200,200,0,0,940,940,Viável
19,0.002974,66,0,66,152.664398,65,1,64,1,210,210,3,85,987,987,Inviável
20,0.003289,51,0,51,159.975449,50,1,49,1,220,220,3,112,1034,1034,Inviável
