3,11,0,2,7
7,11,0,2,7
10,20,4,3,18
5,15,4,2,18
8,8,2,1,23
5,6,0,1,23
8,9,3,1,28
4,12,1,2,28
6,9,3,1,33
8,15,4,2,33
5,7,1,1,38
1,13,2,2,38
3,9,3,1,43
7,3,2,0,43
9,9,3,1,48
10,8,2,1,48
3,4,3,0,53
3,1,0,0,53
10,4,3,0,58
8,16,0,3,58
5,8,2,1,63
2,10,4,1,63
1,15,4,2,68
4,2,1,0,68
10,6,0,1,73
9,18,2,3,73
8,17,1,3,78
2,2,1,0,78
1,7,1,1,83
6,6,0,1,83
4,9,3,1,85
3,13,2,2,85
4,4,3,0,88
5,3,2,0,88
9,6,0,1,92
1,10,4,1,92
9,3,2,0,96
6,17,1,3,96
6,3,2,0,102
6,16,0,3,102
6,8,2,1,103
1,20,4,3,103
8,11,0,2,107
10,15,4,2,107
9,16,0,3,112
6,18,2,3,112
10,18,2,3,113
3,6,0,1,113
8,1,0,0,117
1,1,0,0,117
10,19,3,3,118
4,5,4,0,118
3,20,4,3,122
2,16,0,3,122
9,2,1,0,123
4,19,3,3,123
2,3,2,0,127
7,5,4,0,127
7,10,4,1,127
2,19,3,3,128
4,13,2,2,128
2,15,4,2,128
4,11,0,2,133
7,4,3,0,133
6,1,0,0,133
4,10,4,1,134
10,1,0,0,134
6,14,3,2,134
2,8,2,1,138
5,20,4,3,138
1,16,0,3,138
7,18,2,3,139
7,19,3,3,139
8,3,2,0,139
8,13,2,2,143
6,5,4,0,143
3,3,2,0,143
9,12,1,2,144
8,10,4,1,144
2,9,3,1,144
4,16,0,3,153
6,7,1,1,153
4,14,3,2,153
