8,9,3,1,10
10,5,4,0,10
10,19,3,3,20
9,15,4,2,30
2,5,4,0,30
10,10,4,1,40
8,7,1,1,50
10,12,1,2,50
2,20,4,3,60
2,14,3,2,60
7,10,4,1,70
9,11,0,2,80
2,11,0,2,80
2,19,3,3,90
5,4,3,0,100
2,12,1,2,110
1,1,0,0,120
9,17,1,3,120
4,4,3,0,130
3,19,3,3,130
7,17,1,3,140
6,4,3,0,140
1,9,3,1,150
4,18,2,3,150
9,16,0,3,160
3,12,1,2,160
5,18,2,3,170
3,16,0,3,170
5,10,4,1,180
2,8,2,1,180
5,9,3,1,190
5,12,1,2,190
1,4,3,0,200
4,2,1,0,210
5,7,1,1,220
4,14,3,2,230
3,2,1,0,240
2,10,4,1,250
5,19,3,3,250
4,3,2,0,260
3,9,3,1,260
