id,Tempo Construção Inicial,V. FO Inicial,Rel. Prof x Turm,Rel. Prof x Dia,Tempo Final,V. FO Final,Rel. Prof x Turm,Rel. Prof x Dia,Qnt vzs melhorei a FO, Qnt. Turmas,Qnt. Professores, Qnt  feito refinamento , Iteração da m Solução ,  Qnt de pos que prof x Turma , Qnt de pos que prof x dias, status
18,0.000753,15,0,15,38.147461,14,1,13,1,95,95,3,224,542,542,Inviável
19,0.000717,13,0,13,39.012367,13,0,13,0,100,100,0,0,580,580,Viável
20,0.000531,2,0,2,34.815956,2,0,2,0,105,105,0,0,600,600,Viável
21,0.001168,30,0,30,53.288704,29,1,28,1,110,110,3,282,638,638,Inviável
22,0.000985,25,0,25,53.237213,24,1,23,1,115,115,3,61,658,658,Inviável
23,0.001534,44,0,44,63.604439,43,1,42,1,120,120,3,136,696,696,Inviável
24,0.000761,16,0,16,52.441685,14,2,12,2,125,125,2,77,716,716,Inviável
25,0.001055,27,0,27,61.299709,27,0,27,0,130,130,0,0,754,754,Viável
26,0.002094,39,0,39,79.308372,37,1,36,2,135,135,3,260,774,774,Inviável
27,0.003072,57,0,57,86.724030,55,3,52,2,140,140,1,222,812,812,Inviável
28,0.002981,56,0,56,91.902611,55,1,54,1,145,145,3,125,832,832,Inviável
29,0.003124,51,0,51,98.584045,50,1,49,1,150,150,3,166,870,870,Inviável
30,0.001724,35,0,35,86.679047,34,1,33,1,155,155,3,213,890,890,Inviável
[400],,,,,,,,,,,,,,,,
1,0.000151,10,0,10,5.071937,8,2,6,2,10,10,2,46,58,58,Inviável
2,0.000090,4,0,4,5.170916,3,2,1,1,15,15,2,169,78,78,Inviável
3,0.000107,5,0,5,6.712778,5,0,5,0,20,20,0,0,116,116,Viável
4,0.000152,5,0,5,9.420621,5,0,5,0,25,25,0,0,136,136,Viável
5,0.000221,10,0,10,14.109071,9,1,8,1,30,30,2,152,174,174,Inviável
6,0.000193,7,0,7,14.984569,6,1,5,1,35,35,3,211,194,194,Inviável
7,0.000398,17,0,17,22.239225,16,1,15,1,40,40,3,58,232,232,Inviável
8,0.000472,21,0,21,26.776621,19,1,18,2,45,45,2,372,252,252,Inviável
9,0.000231,5,0,5,22.689589,5,0,5,0,50,50,0,0,290,290,Viável
10,0.000507,22,0,22,32.888725,21,1,20,1,55,55,3,146,310,310,Inviável
11,0.000334,11,0,11,31.624989,11,0,11,0,60,60,0,0,348,348,Viável
