id,100,200,300,400 
0,Viável,Viável,Viável,Viável
1,Viável,Viável,Viável,Viável
2,Inviável,Viável,Viável,Viável
3,Viável,Viável,Viável,Viável
4,Viável,Viável,Viável,Viável
5,Viável,Viável,Viável,Viável
6,Viável,Viável,Viável,Viável
7,Viável,Inviável,Viável,Viável
8,Inviável,Viável,Viável,Viável
9,Viável,Viável,Inviável,Inviável
10,Viável,Viável,Viável,Viável
11,Viável,Viável,Viável,Viável
12,Viável,Viável,Viável,Inviável
13,Viável,Viável,Viável,Viável
14,Viável,Inviável,Viável,Viável
15,Viável,Viável,Viável,Viável
16,Inviável,Viável,Viável,Viável
17,Viável,Viável,Viável,Viável
18,Viável,Viável,Viável,Viável
19,Viável,Viável,Viável,Viável
20,Inviável,Viável,Viável,Viável
21,Viável,Viável,Viável,Viável
22,Viável,Inviável,Viável,Inviável
23,Viável,Viável,Viável,Inviável
24,Viável,Viável,Viável,Inviável
25,Viável,Viável,Inviável,Viável
26,Viável,Viável,Viável,Viável
27,Viável,Viável,Viável,Viável
28,Viável,Viável,Viável,Viável
29,Viável,Viável,Viável,Viável
