id,Tempo Construção Inicial,V. FO Inicial,Rel. Prof x Turm,Rel. Prof x Dia,Tempo Final,V. FO Final,Rel. Prof x Turm,Rel. Prof x Dia,Qnt vzs melhorei a FO, Qnt. Turmas,Qnt. Professores, Qnt  feito refinamento , Iteração da m Solução ,  Qnt de pos que prof x Turma , Qnt de pos que prof x dias, status
1,0.000092,7,0,7,0.274475,6,1,5,1,10,10,3,93,22,22,Inviável
2,0.000082,3,0,3,0.277335,3,0,3,0,13,13,0,0,37,37,Viável
3,0.000083,3,0,3,0.334913,3,0,3,0,16,16,0,0,43,43,Viável
4,0.000096,1,0,1,0.404325,1,0,1,0,19,19,0,0,49,49,Viável
5,0.000154,6,0,6,0.579330,6,0,6,0,22,22,0,0,54,54,Viável
6,0.000123,7,0,7,0.635981,7,0,7,0,25,25,0,0,60,60,Viável
7,0.000130,3,0,3,0.686432,3,0,3,0,28,28,0,0,66,66,Viável
8,0.000153,8,0,8,0.814895,7,2,5,1,31,31,2,69,71,71,Inviável
9,0.000192,3,0,3,0.911881,3,0,3,0,34,34,0,0,77,77,Viável
10,0.000155,2,0,2,0.930689,2,0,2,0,37,37,0,0,83,83,Viável
11,0.000195,8,0,8,1.211213,8,0,8,0,40,40,0,0,88,88,Viável
12,0.000216,7,0,7,1.231744,7,0,7,0,43,43,0,0,103,103,Viável
13,0.000235,8,0,8,1.357197,8,0,8,0,46,46,0,0,109,109,Viável
14,0.000214,4,0,4,1.421082,3,1,2,1,49,49,3,17,115,115,Inviável
15,0.000250,10,0,10,1.662150,9,2,7,1,52,52,2,94,120,120,Inviável
16,0.000301,6,0,6,1.852590,6,0,6,0,55,55,0,0,126,126,Viável
17,0.000262,7,0,7,1.886577,7,0,7,0,58,58,0,0,132,132,Viável
18,0.000393,16,0,16,2.452971,16,0,16,0,61,61,0,0,137,137,Viável
19,0.000350,13,0,13,2.396463,12,1,11,1,64,64,2,82,143,143,Inviável
20,0.000427,18,0,18,2.673827,18,0,18,0,67,67,0,0,149,149,Viável
21,0.000352,10,0,10,2.569814,10,0,10,0,70,70,0,0,154,154,Viável
22,0.000468,12,0,12,2.879240,12,0,12,0,73,73,0,0,169,169,Viável
23,0.000399,9,0,9,2.788131,9,0,9,0,76,76,0,0,175,175,Viável
24,0.000522,20,0,20,3.447437,20,0,20,0,79,79,0,0,181,181,Viável
25,0.000512,15,0,15,3.725257,15,0,15,0,82,82,0,0,186,186,Viável
26,0.000506,20,0,20,3.733343,19,1,18,1,85,85,3,59,192,192,Inviável
27,0.000628,18,0,18,3.944557,18,0,18,0,88,88,0,0,198,198,Viável
28,0.000533,14,0,14,4.090196,14,0,14,0,91,91,0,0,203,203,Viável
29,0.000571,10,0,10,4.157550,10,0,10,0,94,94,0,0,209,209,Viável
30,0.000872,30,0,30,5.466869,30,0,30,0,97,97,0,0,215,215,Viável
