6,8,2,1,7
9,4,3,0,7
2,17,1,3,8
3,4,3,0,8
2,3,2,0,10
8,10,4,1,10
1,14,3,2,12
10,2,1,0,12
6,18,2,3,14
8,12,1,2,14
6,15,4,2,18
7,3,2,0,18
5,16,0,3,20
9,8,2,1,20
8,17,1,3,25
7,14,3,2,25
7,10,4,1,30
9,18,2,3,30
6,5,4,0,35
6,13,2,2,35
8,1,0,0,38
1,4,3,0,38
9,1,0,0,40
1,7,1,1,40
2,20,4,3,43
6,4,3,0,43
3,1,0,0,43
4,12,1,2,43
10,5,4,0,45
8,8,2,1,45
8,5,4,0,45
7,11,0,2,50
9,13,2,2,50
6,11,0,2,50
1,12,1,2,53
9,6,0,1,53
6,1,0,0,53
7,5,4,0,53
4,15,4,2,53
9,11,0,2,53
8,14,3,2,55
3,5,4,0,55
9,20,4,3,55
3,19,3,3,59
6,10,4,1,59
7,12,1,2,59
5,4,3,0,61
7,19,3,3,61
2,5,4,0,61
6,2,1,0,66
4,3,2,0,66
1,15,4,2,66
10,10,4,1,67
5,8,2,1,67
3,13,2,2,67
3,11,0,2,69
6,17,1,3,69
10,4,3,0,69
2,19,3,3,71
2,9,3,1,71
10,8,2,1,71
8,16,0,3,72
4,5,4,0,72
8,15,4,2,72
3,3,2,0,76
4,16,0,3,76
4,1,0,0,76
8,9,3,1,77
7,7,1,1,77
5,20,4,3,77
8,19,3,3,79
6,12,1,2,79
10,12,1,2,79
6,6,0,1,81
1,13,2,2,81
5,11,0,2,81
4,7,1,1,82
5,3,2,0,82
3,2,1,0,82
7,2,1,0,87
2,2,1,0,87
6,19,3,3,87
8,13,2,2,88
1,19,3,3,88
3,20,4,3,88
10,11,0,2,91
4,2,1,0,91
10,7,1,1,91
1,16,0,3,92
5,15,4,2,92
2,10,4,1,92
10,18,2,3,96
4,14,3,2,96
7,13,2,2,96
9,9,3,1,100
8,3,2,0,100
1,18,2,3,100
2,13,2,2,104
5,7,1,1,104
9,17,1,3,104
